localidade,coluna_idx,valor
Roraima,29,5.49
Roraima,30,6.54
Roraima,31,30.75
Roraima,32,15.59
Roraima,33,31.79
Roraima,34,91.45
Roraima,35,86.98
Roraima,36,91.54
Roraima,37,77.47
Roraima,38,79.57
Roraima,39,77.4
Roraima,40,25.7
Roraima,41,29.48
Roraima,42,25.55
Roraima,43,8.17
Roraima,44,7.49
Roraima,45,8.24
Pará,1,29.96
Pará,2,13.39
Pará,3,31.35
Pará,4,97.51
Pará,5,90.61
Pará,6,97.68
Pará,7,83.72
Pará,8,78.86
Pará,9,83.87
Pará,10,29.37
Pará,11,32.45
Pará,12,29.26
Pará,13,7.27
Pará,14,5.86
Pará,15,7.44
Pará,16,29.79
Pará,17,13.97
Pará,18,31.0
Pará,19,97.45
Pará,20,90.01
Pará,21,97.64
Pará,22,84.14
Pará,23,77.59
Pará,24,84.33
Pará,25,28.41
Pará,26,30.07
Pará,27,28.35
Pará,28,6.36
Pará,29,5.34
Pará,30,6.47
Pará,31,30.11
Pará,32,12.92
Pará,33,31.7
Pará,34,97.58
Pará,35,91.39
Pará,36,97.71
Pará,37,83.28
Pará,38,79.95
Pará,39,83.4
Pará,40,30.35
Pará,41,34.65
Pará,42,30.19
Pará,43,8.15
Pará,44,6.27
Pará,45,8.4
Amapá,1,32.35
Amapá,2,16.52
Amapá,3,33.64
Amapá,4,96.45
Amapá,5,88.76
Amapá,6,96.68
Amapá,7,83.08
Amapá,8,75.8
Amapá,9,83.33
Amapá,10,30.19
Amapá,11,35.71
Amapá,12,29.97
Amapá,13,8.34
Amapá,14,6.57
Amapá,15,8.54
Amapá,16,32.23
Amapá,17,17.17
Amapá,18,33.37
Amapá,19,95.99
Amapá,20,85.73
Amapá,21,96.34
Amapá,22,84.84
Amapá,23,77.07
Amapá,24,85.08
Amapá,25,29.15
Amapá,26,32.54
Amapá,27,29.01
Amapá,28,7.31
Amapá,29,6.05
Amapá,30,7.44
Amapá,31,32.47
Amapá,32,15.96
Amapá,33,33.9
Amapá,34,96.91
Amapá,35,92.75
Amapá,36,97.02
Amapá,37,81.22
Amapá,38,74.67
Amapá,39,81.47
Amapá,40,31.23
